zoneid,npixels,mean,min,max,sum,sampVar,popVar,sampSD,popSD
M331Df,88721,24.6943990605985,0,95.1944961547852,2190911.77905536,504.05540299686,504.049721642919,22.4511782095475,22.4510516823359
341Ea,519360,0.009264658985043,0,55,4811.69329047203,0.153753738573946,0.153753442529317,0.39211444576035,0.392114068262435
342Gf,70737,0.138714784769441,0,49.2573738098145,9812.26773023605,2.48630974934413,2.48627460069845,1.57680364958486,1.57679250400884
M331Ed,8112,7.92804067089595,0,65.8156204223633,64312.265922308,152.325626446012,152.306848632101,12.3420268370317,12.3412660870796
M341Dj,51179,7.39457144545133,0,44.1679840087891,378446.77200675,50.928418919423,50.9274238155929,7.13641499069547,7.1363452702061
M331Ek,20522,26.0746297375314,0,64.782096862793,535103.551473618,201.734120136438,201.724289997068,14.2033137026695,14.20296764754
341Fl,98139,0.57143447860336,0,19.603702545166,56080.0082956553,5.75049460626192,5.75043601085534,2.39801889197352,2.39800667448098
322Ar,53401,5.61177804623044,0,54.118278503418,299674.559446752,102.357280974871,102.355364207751,10.1171775201818,10.1170827913856
M331Ii,38313,12.3887785568627,0,80.9998016357422,474651.272849083,123.585920771447,123.582695079886,11.1169204715806,11.1167753903678
313Aj,40193,8.99420179805974,0,42.2319068908691,361503.952869415,46.7214843480148,46.7203219196231,6.83531157651316,6.83522654486471
322Aq,30437,0.511130023025922,0,24.9881267547607,15557.2645108402,4.86035561661608,4.8601959308515,2.20462142251591,2.20458520607653
331Ig,129424,0.087607949268452,0,38.1526908874512,11338.57122612,1.98311154733317,1.98309622473808,1.40822993411345,1.40822449372892
322Ay,104134,0.007457049320729,0,11.9462785720825,776.532373964787,0.062198149281579,0.062197551992036,0.249395567886798,0.24939437040967
313Ac,200060,3.78713498871636,0,69.0994415283203,757654.225842595,76.9208068094475,76.92042232076,8.77045077572684,8.77042885614837
322Al,94799,0.104872947752789,0,16.4543361663818,9941.85057401657,0.705477735606096,0.70547029377933,0.83992722042216,0.839922790367859
313Ba,121632,8.36556316310399,0,45.0279235839844,1017520.17865467,88.4242355819886,88.4235086003095,9.40341616552137,9.40337751025181
M331Gk,78924,17.5913544573238,0,84.0143203735352,1388380.0591898,290.657303378583,290.653620629314,17.0486745343614,17.0485665271105
M331Em,24436,14.7511042242921,0,78.4293975830078,360457.982824802,206.921963099115,206.913495184436,14.3847823445165,14.3844880056412
M331Ee,13893,5.72548917895869,0,57.3826751708984,79544.2211632729,87.1935721954384,87.1872961159599,9.33774984648006,9.33741378091171
M331Iu,71602,30.342378568171,0,96.5937042236328,2172574.99023819,492.742247660718,492.735365977976,22.1977982615555,22.1976432527865
341Av,112498,1.69996651850115,0,35.48681640625,191242.833398342,16.9021625307387,16.902012286623,4.1112239699071,4.11120569743512
M331Ei,22717,11.3984516629684,0,71.9643325805664,258938.62642765,155.329986825899,155.323149215879,12.4631451418131,12.4628708256115
342Jb,53203,0.044234684817117,0,27.2329254150391,2353.41793632507,0.578229911747167,0.578219043376742,0.760414302697659,0.760407156316103
342Ga,286907,0.095481540726919,0,50.251106262207,27394.3224053383,2.76227303658024,2.76226340881571,1.66200873541033,1.66200583898364
342Ea,89276,0.241160750864461,0,43.3035125732422,21529.8671941757,5.57419392227095,5.57413148450579,2.36097308800227,2.36095986507729
342Fl,25325,0.003301836006262,0,17.8746242523193,83.6189968585968,0.042675155481327,0.042673470381407,0.206579658924413,0.206575580312404
341Dk,38786,2.88283015017917,0,118,111813.450204849,101.870651553845,101.86802507389,10.0930992045974,10.0929690910995
